EMG,Force
samples,1155.0
time,1126.0
value,1127.0
0,1091.0
0,1117.0
0,1088.0
0,1211.0
0,1189.0
0,1124.0
0,1149.0
0,1246.0
0,1131.0
0,1202.0
0,1122.0
0,1135.0
0,1141.0
0,1142.0
0,1152.0
0,1087.0
0,1104.0
0,1133.0
0,1216.0
0,1201.0
0,1151.0
0,1138.0
0,1136.0
0,1152.0
0,1101.0
0,1141.0
0,1087.0
0,1121.0
0,1244.0
0,1104.0
0,1137.0
0,1162.0
0,1102.0
0,1008.0
0,1133.0
0,1125.0
0,1156.0
0,1280.0
0,1222.0
0,1145.0
0,1143.0
0,1104.0
0,1118.0
0,1248.0
0,1136.0
0,1098.0
0,1148.0
0,1118.0
0,1119.0
0,1119.0
0,1072.0
0,1111.0
0,1142.0
0,1131.0
0,1135.0
0,1050.0
0,1115.0
0,1142.0
0,1133.0
0,1146.0
0,1088.0
0,1072.0
0,1117.0
0,1161.0
0,1146.0
0,1163.0
0,1111.0
0,1143.0
0,1248.0
0,1122.0
0,1216.0
0,1153.0
0,1149.0
0,1112.0
0,1166.0
0,1133.0
0,1102.0
0,1157.0
0,1011.0
0,1135.0
0,1174.0
0,1166.0
0,1254.0
0,1266.0
0,1136.0
0,1100.0
0,1238.0
0,1089.0
0,1131.0
0,1223.0
0,1153.0
0,1141.0
0,1109.0
0,1115.0
0,1139.0
0,1152.0
0,1083.0
0,1078.0
0,1143.0
0,1114.0
0,1227.0
0,1122.0
0,1233.0
0,1088.0
0,1178.0
0,1110.0
0,1138.0
0,1223.0
0,1112.0
0,1143.0
0,1213.0
0,1156.0
0,1114.0
0,1092.0
0,1161.0
0,1157.0
0,1092.0
0,1111.0
0,1138.0
0,1067.0
0,1165.0
0,1161.0
0,1103.0
0,1085.0
0,1104.0
0,1126.0
0,1119.0
0,1093.0
0,1165.0
0,1144.0
0,1141.0
0,1143.0
0,1104.0
0,1119.0
0,1091.0
0,1101.0
0,1173.0
0,1077.0
0,1134.0
0,1177.0
0,1110.0
0,1111.0
0,1105.0
0,1130.0
0,1156.0
0,1151.0
0,1095.0
0,1159.0
0,1142.0
0,949.0
0,1176.0
0,1091.0
0,1105.0
0,1076.0
0,1122.0
0,1105.0
0,1217.0
0,1133.0
0,1136.0
0,1163.0
0,1163.0
0,1122.0
0,1280.0
0,1119.0
0,1135.0
0,1169.0
0,1143.0
0,1168.0
0,1131.0
0,1090.0
0,1170.0
0,1111.0
0,1137.0
0,1144.0
0,1126.0
0,1216.0
0,1120.0
0,1227.0
0,1126.0
0,1152.0
0,1123.0
0,1127.0
0,1152.0
0,1157.0
0,1155.0
0,1123.0
0,1143.0
0,1159.0
0,1104.0
0,1199.0
0,1126.0
0,1111.0
0,1109.0
0,1111.0
0,1217.0
0,1106.0
0,1071.0
0,1124.0
0,1136.0
0,1210.0
0,1122.0
0,1125.0
0,1174.0
0,1116.0
0,1228.0
0,1130.0
0,1150.0
0,1104.0
0,1126.0
0,1163.0
0,1232.0
0,1146.0
0,1141.0
0,1232.0
0,919.0
0,1127.0
0,1119.0
0,1299.0
0,1118.0
0,1104.0
0,1104.0
0,1164.0
0,1168.0
0,1202.0
0,1136.0
0,1055.0
0,1122.0
0,1152.0
0,1082.0
0,1121.0
0,1116.0
0,1107.0
0,1241.0
0,1136.0
